,name,link,city,medias,styles
0,La Clairière,https://shotgun.live/fr/venues/la-clairiere,Paris,"{'Instagram': 'https://www.instagram.com/la.clairiere'}, {'Facebook': 'https://www.facebook.com/464313800433887'}","DEEP HOUSE, DEEP TECH, TECH HOUSE, HOUSE, TECHNO, MELODIC HOUSE & TECHNO, AFRO HOUSE, ELECTRO, REGGAETON, LATIN HOUSE, DISCO HOUSE, INDIE DANCE, POP, BASS, ELECTRO HOUSE, ACID HOUSE"
1,REX CLUB,https://shotgun.live/fr/venues/rex-club,Paris,"{'Instagram': 'https://www.instagram.com/Rexclub'}, {'SoundCloud': 'https://soundcloud.com/Rexclub'}, {'X': 'https://x.com/Rexclub'}, {'Facebook': 'https://www.facebook.com/122949944389260'}","TRANCE, HARD TRANCE, TECHNO, HOUSE, HARD TECHNO, GERMAN TECHNO, DRUM & BASS, BREAKBEAT, INDUSTRIAL, ITALO DISCO, BASS, TECH HOUSE, DISCO HOUSE, DISCO, ELECTRO, HIP HOP, ACID HOUSE, MINIMAL HOUSE, MINIMAL TECHNO, PROGRESSIVE TRANCE, PROGRESSIVE PSYTRANCE, RAP, HARD GROOVE, UK GARAGE, AMAPIANO, AFRO HOUSE, BAILE FUNK, AFROBEAT, MICRO HOUSE, ACIDCORE, DUB, PSYTRANCE, GARAGE, ELECTRO HOUSE, MELODIC HOUSE & TECHNO, POP ROCK, POP, BASS HOUSE, FUNK, DUB TECHNO, DEEP TECHNO, HYPNOTIC TECHNO, TRAP, DETROIT TECHNO, DEEP HOUSE, DEEP TECH"
2,Kilomètre25,https://shotgun.live/fr/venues/kilometre-25,Paris,"{'Instagram': 'https://www.instagram.com/kilometre25_paris'}, {'SoundCloud': 'https://soundcloud.com/kilometre25'}, {'TikTok': 'https://www.tiktok.com/@kilometre25_paris'}, {'X': 'https://x.com/Km25Paris'}, {'Facebook': 'https://www.facebook.com/Kilometre25'}","TECHNO, HARD TECHNO, TRANCE, HARD GROOVE, PROGRESSIVE TRANCE, ELECTRO, HOUSE, UK GARAGE, TECH HOUSE, IBM, HARD TRANCE, MINIMAL TECHNO, ACID TECHNO, GHETTOTECH, PROGRESSIVE HOUSE, ITALO DISCO, MICRO HOUSE, HARDCORE, BREAKBEAT, BASS, EBM"
3,R2 LE ROOFTOP,https://shotgun.live/fr/venues/r2-le-rooftop,Aix-Marseille,"{'Instagram': 'https://www.instagram.com/lerooftopmarseille'}, {'Facebook': 'https://www.facebook.com/1439907639633790'}","SHATTA, AFROBEAT, HOUSE, AFRO HOUSE, TECH HOUSE, HIP HOP, BAILE FUNK, RAP, R&B, ELECTRO, AMAPIANO, CLUB, DISCO"
4,PHANTOM,https://shotgun.live/fr/venues/phantom,Paris,"{'Instagram': 'https://www.instagram.com/phantom.paris'}, {'TikTok': 'https://www.tiktok.com/@phantom.paris'}, {'X': 'https://x.com/Phantom_Paris'}, {'Facebook': 'https://www.facebook.com/Phantom.Paris'}","HOUSE, TECH HOUSE, TECHNO, MINIMAL TECHNO, DRUM & BASS, EDM, MELODIC HOUSE & TECHNO, DANCE, RAP, DEEP HOUSE, DEEP TECH, AFRO HOUSE, BASS, ELECTRO, EURODANCE, TRANCE, POP, DEEP TECHNO, REGGAETON"
5,Nexus,https://shotgun.live/fr/venues/nexus,Pantin,"{'Instagram': 'https://www.instagram.com/nexus.france'}, {'Spotify': 'https://open.spotify.com/user/31nzo63c4ileukfcfhpszz26pjki'}, {'YouTube': 'https://www.youtube.com/@Nexus.France'}, {'TikTok': 'https://www.tiktok.com/@nexus.france'}, {'X': 'https://x.com/NexusClub4'}, {'Facebook': 'https://www.facebook.com/Nexus.france'}","HARDCORE, HARDTEK, HARDSTYLE, HARD TECHNO, TECHNO, GERMAN TECHNO, ACID TECHNO, TRANCE, EURODANCE, HARD GROOVE, HYPNOTIC TECHNO, INDUSTRIAL, HARD TRANCE, DEEP TECHNO, HYPERPOP, ELECTRO, FRENCHCORE, PSYTRANCE, GABBER, ACIDCORE, EXPERIMENTAL"
6,T7,https://shotgun.live/fr/venues/t-7,Paris,"{'Instagram': 'https://www.instagram.com/t7paris'}, {'Spotify': 'https://open.spotify.com/user/xi4vj2k0kfdljqso8p9xzizjj'}, {'TikTok': 'https://www.tiktok.com/@t7paris'}, {'Facebook': 'https://www.facebook.com/T7Paris'}","TECHNO, HARD TECHNO, GERMAN TECHNO, MELODIC HOUSE & TECHNO, HARDSTYLE, DEEP TECHNO, TRANCE, HOUSE, TECH HOUSE, AFRO HOUSE, ELECTRO, ELECTRO HOUSE, DARK WAVE, HARD GROOVE, DRUM & BASS"
7,Mia Mao,https://shotgun.live/fr/venues/mia-mao,Paris,"{'Instagram': 'https://www.instagram.com/miamao_paris'}, {'SoundCloud': 'https://soundcloud.com/miamaoparis'}, {'YouTube': 'https://www.youtube.com/@@miamao_music'}, {'Facebook': 'https://www.facebook.com/miamao.paris'}","HARD TECHNO, TRANCE, TECHNO, HARDCORE, ACID TECHNO, HARD GROOVE, DETROIT TECHNO, ELECTRO, GERMAN TECHNO, HOUSE, HYPNOTIC TECHNO, INDUSTRIAL, NEW WAVE, EBM, HARDSTYLE, MINIMAL HOUSE, PSYTRANCE, HARD TRANCE, DRUM & BASS, BASS, MELODIC HOUSE & TECHNO"
8,CABARET SAUVAGE,https://shotgun.live/fr/venues/cabaret-sauvage,Paris,"{'Instagram': 'https://www.instagram.com/cabaret_sauvage_paris'}, {'TikTok': 'https://www.tiktok.com/@cabaretsauvage'}, {'X': 'https://x.com/CabaretSauvage'}, {'Facebook': 'https://www.facebook.com/54088500853'}","HOUSE, MELODIC HOUSE & TECHNO, DISCO HOUSE, SALSA, REGGAETON, CUMBIA, ELECTRO, TECH HOUSE, MINIMAL TECHNO, TRANCE, TECHNO, DUBSTEP, BASS, DRUM & BASS, POP, POP ROCK, ROCK, JAZZ, SOUL, AFROBEAT, REGGAE, DUB, INDIE ROCK, ZOUK, R&B, DEEP HOUSE"
9,Virage,https://shotgun.live/fr/venues/virage,Paris,"{'Instagram': 'https://www.instagram.com/virage.paris'}, {'Facebook': 'https://www.facebook.com/virage17'}","ELECTRO, HOUSE, ITALO DISCO, TECHNO, DISCO, HARD TECHNO, EBM, BREAKBEAT, POP, DANCE, MINIMAL TECHNO, HYPERPOP, BASS, DISCO HOUSE, HARD GROOVE, REGGAETON, BAILE FUNK, AFROBEAT, TRANCE, HARDCORE, GABBER, ROCK, PROGRESSIVE HOUSE, TECH HOUSE, POP ROCK, R&B, EXPERIMENTAL, DEEP HOUSE, INDUSTRIAL, RAP, GHETTOTECH, HARD TRANCE, ACID HOUSE, HIP HOP, AFRO, DANCEHALL, INDIE DANCE, UK GARAGE, PSYTRANCE, DRUM & BASS, EURODANCE, ACID TECHNO, GERMAN TECHNO, SYNTHPOP, BRAZILIAN, SAMBA, HYPNOTIC TECHNO, CHICAGO HOUSE, TRIBAL HOUSE, MICRO HOUSE, BREAKCORE, DEEP TECHNO, ELECTRO HOUSE, MINIMAL HOUSE, AFRO HOUSE, PROGRESSIVE TRANCE, DEEP TECH, FUNK"
